İlan no,Marka,Model,Seri,Fiyat,Model Yılı,Kasa Tipi,Vites Tipi,Renk,Garanti,İlan Tarihi,Kilometre,Yakıt Tipi,Kapı Sayısı
237672,Alfa Romeo,147,1.6 T. Spark Distinctive,19850,2003,Hatchback,Manuel,Krmz,Hayır,11/06/2015,124000,Benzin,5
205883,Alfa Romeo,147,1.6 T. Spark Distinctive,27900,2005,Hatchback,Manuel,Bordo,Hayır,10/09/2014,135000,Benzin,5
203716,Alfa Romeo,147,1.6 T. Spark Progression,19900,2004,Hatchback,Manuel,Siyah,Hayır,25/08/2014,149000,Benzin + LPG,3
199881,Alfa Romeo,147,1.6 T. Spark Progression,24900,2007,Hatchback,Manuel,Krmz,Hayır,18/07/2014,89000,Benzin,3
330850,Alfa Romeo,156,1.6 16V T.Spark,20000,1998,Sedan,Manuel,Krmz,Hayır,25/11/2016,205000,Benzin + LPG,4
328240,Alfa Romeo,156,1.6 T. Spark Distinctive,26000,2004,Sedan,Manuel,Siyah,Hayır,03/11/2016,219000,Benzin + LPG,5
327192,Alfa Romeo,156,2.0 16V T. Spark Executive,25000,2001,Sedan,Manuel,Gri,Hayır,25/10/2016,148000,Benzin,4
326152,Alfa Romeo,156,1.6 T. Spark Distinctive,30000,2005,Sedan,Manuel,Gri,Hayır,18/10/2016,229000,Benzin + LPG,4
322696,Alfa Romeo,156,1.6 T. Spark Distinctive,23450,2004,Sedan,Manuel,Gri,Hayır,21/09/2016,204000,Benzin,4
321198,Alfa Romeo,156,1.6 16V T.Spark,20250,2000,Sedan,Manuel,Krmz,Hayır,04/09/2016,240000,Benzin + LPG,4
307291,Alfa Romeo,156,1.6 16V T. Spark Distinctive,19500,2001,Sedan,Manuel,Siyah,Hayır,30/07/2016,212000,Benzin,4
304177,Alfa Romeo,156,1.6 16V T. Spark Progression,22250,2002,Sedan,Manuel,Gri,Hayır,25/06/2016,157000,Benzin,4
302967,Alfa Romeo,156,1.6 16V T. Spark Distinctive,21750,2001,Sedan,Manuel,Krmz,Hayır,14/06/2016,198000,Benzin + LPG,4
301803,Alfa Romeo,156,1.6 T. Spark Distinctive,29750,2004,Sedan,Manuel,Siyah,Hayır,04/06/2016,207000,Benzin + LPG,4
290881,Alfa Romeo,156,1.6 T. Spark Distinctive,28000,2004,Sedan,Manuel,Gri,Hayır,27/05/2016,91000,Benzin,4
289570,Alfa Romeo,156,2.0 16V JTS Distinctive,25000,2005,Sedan,Otomatik,Bej,Hayır,16/05/2016,242000,Benzin,4
272601,Alfa Romeo,156,1.6 16V T.Spark,22000,1999,Sedan,Manuel,Gri,Hayır,13/03/2016,271000,Benzin + LPG,4
257757,Alfa Romeo,156,1.6 T. Spark Distinctive,30300,2006,Sedan,Manuel,Siyah,Hayır,17/01/2016,119000,Benzin,4
255861,Alfa Romeo,156,2.0 16V JTS Distinctive,20500,2001,Sedan,Tiptronik,Gri,Hayır,26/12/2015,73600,Benzin,4
239576,Alfa Romeo,156,1.6 16V T. Spark Distinctive,17500,1998,Sedan,Manuel,Krmz,Hayır,30/06/2015,241000,Benzin + LPG,4
234747,Alfa Romeo,156,1.6 T. Spark Distinctive,27750,2005,Sedan,Manuel,Bordo,Hayır,13/05/2015,170000,Benzin + LPG,4
226526,Alfa Romeo,156,2.0 16V T. Spark Selespeed,20500,2001,Sedan,Tiptronik,Gri,Hayır,02/03/2015,158000,Benzin + LPG,4
223179,Alfa Romeo,156,1.6 T. Spark Distinctive,27500,2005,Sedan,Manuel,Gri,Hayır,02/02/2015,164000,Benzin + LPG,4
212756,Alfa Romeo,156,2.0 16V T. Spark Executive,22000,2002,Sedan,Tiptronik,Gri,Hayır,12/11/2014,225000,Benzin + LPG,4
208247,Alfa Romeo,156,1.6 T. Spark Distinctive,25000,2004,Sedan,Manuel,Bej,Evet,30/09/2014,190000,Benzin,4
206270,Alfa Romeo,156,1.6 T. Spark Distinctive,26500,2004,Sedan,Manuel,Siyah,Hayır,13/09/2014,81000,Benzin,4
202973,Alfa Romeo,156,2.0 16V T. Spark Executive,18000,2002,Sedan,Manuel,Gri,Hayır,18/08/2014,17000,Benzin + LPG,5
199781,Alfa Romeo,156,SW 2.0 JTS Distinctive Selespeed,27000,2005,Sedan,Tiptronik,Siyah,Hayır,18/07/2014,208000,Benzin + LPG,4
197426,Alfa Romeo,156,1.6 T. Spark Distinctive,31300,2004,Sedan,Manuel,Krmz,Hayır,26/06/2014,168000,Benzin,4
187086,Alfa Romeo,156,1.6 16V T.Spark,15500,1998,Sedan,Manuel,Krmz,Hayır,18/02/2014,222000,Benzin,4
186548,Alfa Romeo,156,2.0 16V T. Spark Executive,18750,2002,Sedan,Manuel,Krem,Hayır,09/02/2014,136000,Benzin + LPG,4
306647,Alfa Romeo,156,1.6 T. Spark Distinctive,28500,2004,Sedan,Manuel,Bordo,Hayır,24/07/2016,208000,Benzin,4
306337,Alfa Romeo,156,2.0 16V T. Spark,23000,2000,Sedan,Otomatik,Krmz,Hayır,21/07/2016,237600,Benzin + LPG,5
287663,Alfa Romeo,156,2.0 16V T. Spark,19000,1999,Sedan,Manuel,Gri,Hayır,28/04/2016,163000,Benzin + LPG,4
274559,Alfa Romeo,156,2.0 16V JTS Distinctive,20500,1996,Sedan,Manuel,Gri,Hayır,30/03/2016,244400,Benzin + LPG,4
254983,Alfa Romeo,156,2.0 16V T. Spark,18500,1999,Sedan,Manuel,Siyah,Hayır,19/12/2015,207000,Benzin,4
253570,Alfa Romeo,156,1.6 T. Spark Distinctive,29000,2005,Sedan,Manuel,Sar,Hayır,09/12/2015,173000,Benzin + LPG,4
247085,Alfa Romeo,156,2.0 16V T. Spark,21750,1998,Sedan,Manuel,Krmz,Hayır,06/10/2015,184000,Benzin + LPG,4
245473,Alfa Romeo,156,2.0 16V T. Spark Executive,19250,2002,Sedan,Manuel,Bej,Hayır,11/09/2015,147000,Benzin,4
212741,Alfa Romeo,156,1.6 T. Spark Progression,24000,2004,Sedan,Manuel,Gri,Hayır,12/11/2014,220000,Benzin,4
205443,Alfa Romeo,156,2.0 16V T. Spark,12000,1998,Sedan,Manuel,Siyah,Hayır,05/09/2014,240000,Benzin,4
203718,Alfa Romeo,156,SW 2.0 JTS 16V JTS Distinctive Selespeed,21000,2002,Sedan,Tiptronik,Gm,Hayır,25/08/2014,190000,Benzin + LPG,4
203717,Alfa Romeo,156,2.0 16V T. Spark,16500,1998,Hatchback,Manuel,Metalik gri,Hayır,25/08/2014,220000,Benzin + LPG,5
203485,Alfa Romeo,156,1.6 T. Spark Distinctive,28500,2006,Sedan,Manuel,Siyah,Hayır,22/08/2014,99000,Benzin,4
200337,Alfa Romeo,156,1.6 16V T.Spark,15000,1999,Sedan,Manuel,Siyah,Hayır,23/07/2014,180000,Benzin,4
185094,Alfa Romeo,156,2.0 16V T. Spark Selespeed,25000,2001,Sedan,Tiptronik,Siyah,Evet,22/01/2014,121000,Benzin + LPG,4
330632,Alfa Romeo,159,1.9 JTD Distinctive Q-tronic,39500,2008,Sedan,Otomatik,Siyah,Hayır,23/11/2016,220000,Dizel,4
330599,Alfa Romeo,159,1.9 JTD Distinctive Plus Q-tronic,46500,2008,Sedan,Otomatik,Siyah,Hayır,23/11/2016,183000,Dizel,4
307413,Alfa Romeo,159,1.9 JTD Distinctive Plus Q-tronic,45000,2008,Sedan,Otomatik,Siyah,Hayır,01/08/2016,198434,Dizel,4
304923,Alfa Romeo,164,2.0 Twin Spark,4000,1989,Sedan,Manuel,Metalik mavi,Hayır,03/07/2016,396000,Benzin + LPG,4
324899,Alfa Romeo,33,1.5 I.E.,8000,1991,Hatchback,Manuel,Beyaz,Hayır,09/10/2016,130000,Benzin,5
197364,Alfa Romeo,33,1.5 4x4 Giardinetta,6500,1990,Hatchback,Manuel,Siyah,Evet,25/06/2014,100000,Benzin,5
240781,Alfa Romeo,75,2.0 Twin Spark,25000,1987,Sedan,Manuel,Yeil,Hayır,13/07/2015,238000,Benzin + LPG,4
326108,Alfa Romeo,GT,2.0 JTS Distinctive Selespeed,40000,2006,Coupe,S-Tronik,Siyah,Hayır,17/10/2016,116000,Benzin,2
304021,Alfa Romeo,GT,2.0 JTS Distinctive Selespeed,51250,2006,Coupe,S-Tronik,Siyah,Hayır,24/06/2016,23750,Benzin,2
209390,Alfa Romeo,GT,2.0 JTS Distinctive,200000,2007,Coupe,Manuel,Krmz,Hayır,14/10/2014,111600,Benzin,2
192202,Alfa Romeo,GTV,2.0 V6 TB,22000,1996,Coupe,Manuel,Gri,Hayır,25/04/2014,142000,Benzin,2
330132,Alfa Romeo,Giulietta,1.6 JTD Distinctive,53000,2013,Hatchback,Manuel,Beyaz,Hayır,19/11/2016,60450,Dizel,5
327701,Alfa Romeo,Giulietta,1.4 TB Distinctive MultiAir TCT,69900,2015,Hatchback,Otomatik,Beyaz,Evet,30/10/2016,27500,Benzin,5
326354,Alfa Romeo,Giulietta,1.4 TB Progression Plus,54750,2013,Hatchback,Manuel,Beyaz,Hayır,19/10/2016,35000,Benzin,5
326227,Alfa Romeo,Giulietta,1.6 JTD Distinctive,75000,2014,Hatchback,Manuel,Krmz,Evet,18/10/2016,22500,Dizel,5
325528,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,62000,2013,Hatchback,Otomatik,Beyaz,Hayır,12/10/2016,49000,Benzin,5
230374,Alfa Romeo,Giulietta,1.4 TB Progression Plus,53000,2011,Hatchback,Manuel,Krmz,Evet,04/04/2015,45000,Benzin,5
322902,Alfa Romeo,Giulietta,1.6 JTD Distinctive,66000,2015,Hatchback,Manuel,Siyah,Evet,23/09/2016,37000,Dizel,5
322502,Alfa Romeo,Giulietta,1.6 JTD Distinctive,57500,2012,Hatchback,Manuel,Beyaz,Hayır,20/09/2016,81500,Dizel,5
321534,Alfa Romeo,Giulietta,1.6 JTD Distinctive,59900,2012,Hatchback,Manuel,Krmz,Hayır,07/09/2016,99000,Dizel,5
306818,Alfa Romeo,Giulietta,1.6 JTD Distinctive,51000,2011,Hatchback,Manuel,Beyaz,Hayır,26/07/2016,105000,Dizel,5
290790,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,57000,2012,Hatchback,Manuel,Beyaz,Hayır,26/05/2016,74000,Benzin,5
288613,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,56000,2011,Hatchback,Manuel,Beyaz,Hayır,06/05/2016,76500,Benzin,5
286953,Alfa Romeo,Giulietta,1.4 TB Distinctive,52000,2012,Hatchback,Manuel,Siyah,Hayır,22/04/2016,55000,Benzin,5
276436,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,51000,2011,Hatchback,Manuel,Beyaz,Hayır,16/04/2016,116000,Dizel,5
274038,Alfa Romeo,Giulietta,1.4 TB Distinctive MultiAir TCT,68500,2014,Hatchback,Otomatik,Beyaz,Evet,25/03/2016,47000,Benzin,5
